,job_title,company_name
953,SQL Data Engineer,1
956,SQL Production Engineer,1
18,Analyst II Business Analytics,1
959,SR. Data Center Architect,1
994,"Senior Analyst, Data Science and Analytics",1
996,"Senior Analyst, Enterprise Data Services",1
998,"Senior Associate, Data & Analytics",1
1002,Senior Business Analyst (for Enterprise Reporting Systems),1
1003,Senior Business Analyst - Contract,1
1004,Senior Business Analyst - Trade Capture/Trade Surveillance,1
1005,Senior Business Analyst Contractor,1
1006,"Senior Business Analyst, Ceded Reinsurance",1
1007,"Senior Business Analyst, Performance & Decision Support",1
1010,Senior Business Strategy Analyst,1
1011,Senior Clinical Data Analyst,1
1012,Senior Commissioning Engineer,1
1014,Senior Data Analyst (JO# 391014),1
1015,"Senior Data Analyst - Flexible Schedule, 30-40 hours/week",1
16,Analyst Club Business Development,1
1020,Senior Data Engineer – Personalization,1
1021,"Senior Data Engineer, Engineering Productivity",1
1022,"Senior Data Engineer, Ingestion",1
1023,"Senior Data Engineer, Operations",1
1024,Senior Data Operations Engineer,1
1025,Senior Data Platform Engineer,1
993,"Senior Analyst, Data Management",1
992,"Senior Analyst, Data Analytics",1
991,"Senior Analyst, Data & Insights",1
972,Sales Reporting Analyst,1
960,SR. PROJECT LEADER/SR. BUSINESS ANALYST,1
17,Analyst I(Financial Reporting/Data Management),1
962,"STATISTICAL DATA ANALYST, School of Public Health, Biostatistics and Epidemiology Data Analytics Center",1
963,"SVP, Chief Data Scientist",1
964,Sales Business Analyst,1
965,Sales Business Analyst Associate,1
966,Sales Data Analyst,1
969,"Sales Engineer, Google Cloud",1
971,Sales Operations Business Analyst,1
975,Scheduling Engineer-AECOM Hunt,1
990,"Senior Analyst, Data & Analysis",1
976,Scientific Associate or Engineer - Data Acquisition Systems (Entry Level),1
977,Scientific Writers (For Advanced Degrees) - Entry & Mid-Level - Payer Marketing/Market Access Agency,1
978,Scientist 1 - Machine Learning,1
979,"Scientist I, Infectious Disease Modeling",1
